Date,DGS5
2022-01-03,1.370000
2022-01-04,1.370000
2022-01-05,1.430000
2022-01-06,1.470000
2022-01-07,1.500000
2022-01-10,1.530000
2022-01-11,1.510000
2022-01-12,1.500000
2022-01-13,1.470000
2022-01-14,1.550000
2022-01-17,1.650000
2022-01-18,1.650000
2022-01-19,1.620000
2022-01-20,1.620000
2022-01-21,1.540000
2022-01-24,1.530000
2022-01-25,1.560000
2022-01-26,1.660000
2022-01-27,1.660000
2022-01-28,1.610000
2022-01-31,1.620000
2022-02-01,1.630000
2022-02-02,1.600000
2022-02-03,1.660000
2022-02-04,1.780000
2022-02-07,1.760000
2022-02-08,1.810000
2022-02-09,1.820000
2022-02-10,1.960000
2022-02-11,1.840000
2022-02-14,1.900000
2022-02-15,1.940000
2022-02-16,1.900000
2022-02-17,1.850000
2022-02-18,1.820000
2022-02-21,1.850000
2022-02-22,1.850000
2022-02-23,1.890000
2022-02-24,1.840000
2022-02-25,1.860000
2022-02-28,1.710000
2022-03-01,1.560000
2022-03-02,1.740000
2022-03-03,1.740000
2022-03-04,1.650000
2022-03-07,1.710000
2022-03-08,1.800000
2022-03-09,1.870000
2022-03-10,1.920000
2022-03-11,1.960000
2022-03-14,2.100000
2022-03-15,2.100000
2022-03-16,2.180000
2022-03-17,2.170000
2022-03-18,2.140000
2022-03-21,2.330000
2022-03-22,2.390000
2022-03-23,2.340000
2022-03-24,2.370000
2022-03-25,2.550000
2022-03-28,2.540000
2022-03-29,2.490000
2022-03-30,2.440000
2022-03-31,2.420000
2022-04-01,2.550000
2022-04-04,2.560000
2022-04-05,2.690000
2022-04-06,2.700000
2022-04-07,2.700000
2022-04-08,2.760000
2022-04-11,2.790000
2022-04-12,2.660000
2022-04-13,2.660000
2022-04-14,2.790000
2022-04-15,2.790000
2022-04-18,2.790000
2022-04-19,2.910000
2022-04-20,2.870000
2022-04-21,2.960000
2022-04-22,2.940000
2022-04-25,2.840000
2022-04-26,2.790000
2022-04-27,2.810000
2022-04-28,2.860000
2022-04-29,2.920000
2022-05-02,3.010000
2022-05-03,3.010000
2022-05-04,2.930000
2022-05-05,3.010000
2022-05-06,3.060000
2022-05-09,2.950000
2022-05-10,2.910000
2022-05-11,2.890000
2022-05-12,2.810000
2022-05-13,2.890000
2022-05-16,2.830000
2022-05-17,2.960000
2022-05-18,2.890000
2022-05-19,2.840000
2022-05-20,2.800000
2022-05-23,2.880000
2022-05-24,2.760000
2022-05-25,2.710000
2022-05-26,2.700000
2022-05-27,2.710000
2022-05-30,2.810000
2022-05-31,2.810000
2022-06-01,2.940000
2022-06-02,2.920000
2022-06-03,2.950000
2022-06-06,3.030000
2022-06-07,2.990000
2022-06-08,3.030000
2022-06-09,3.070000
2022-06-10,3.250000
2022-06-13,3.560000
2022-06-14,3.610000
2022-06-15,3.380000
2022-06-16,3.350000
2022-06-17,3.340000
2022-06-20,3.380000
2022-06-21,3.380000
2022-06-22,3.220000
2022-06-23,3.140000
2022-06-24,3.180000
2022-06-27,3.240000
2022-06-28,3.250000
2022-06-29,3.150000
2022-06-30,3.010000
2022-07-01,2.880000
2022-07-04,2.820000
2022-07-05,2.820000
2022-07-06,2.960000
2022-07-07,3.050000
2022-07-08,3.130000
2022-07-11,3.050000
2022-07-12,3.010000
2022-07-13,3.020000
2022-07-14,3.060000
2022-07-15,3.050000
2022-07-18,3.060000
2022-07-19,3.140000
2022-07-20,3.180000
2022-07-21,3.000000
2022-07-22,2.870000
2022-07-25,2.890000
2022-07-26,2.890000
2022-07-27,2.820000
2022-07-28,2.690000
2022-07-29,2.700000
2022-08-01,2.660000
2022-08-02,2.850000
2022-08-03,2.860000
2022-08-04,2.760000
2022-08-05,2.970000
2022-08-08,2.910000
2022-08-09,2.970000
